epoch,auc,loss,precision,recall,recall_1,val_auc,val_loss,val_precision,val_recall,val_recall_1
0,0.9960178732872009,0.0023055104538798332,0.9557461738586426,0.9254268407821655,0.9681209325790405,0.9960102438926697,0.002458693692460656,0.9611809253692627,0.9057145118713379,0.9637504816055298
1,0.9972492456436157,0.001786019653081894,0.9647791385650635,0.9415822625160217,0.9766853451728821,0.9963276386260986,0.002149138832464814,0.9677947163581848,0.9166499972343445,0.9674515128135681
2,0.9970973134040833,0.0018889683997258544,0.9621044993400574,0.9379433989524841,0.9753703474998474,0.9961170554161072,0.002499194350093603,0.9539443254470825,0.9096444249153137,0.9646163582801819
3,0.99723881483078,0.0018615981098264456,0.9622453451156616,0.9387865662574768,0.9760685563087463,0.9961216449737549,0.0022807710338383913,0.9618999361991882,0.9137069582939148,0.9656891822814941
4,0.9976485967636108,0.001616624416783452,0.9669985771179199,0.9465675354003906,0.9792890548706055,0.9970451593399048,0.0019802208989858627,0.9662063717842102,0.9257298707962036,0.9723464250564575
5,0.9978740811347961,0.0014873157488182187,0.9700443744659424,0.951418936252594,0.981285572052002,0.9970734119415283,0.0018844511359930038,0.9682547450065613,0.9289528131484985,0.9728114008903503
6,0.9979592561721802,0.00140532071236521,0.9715283513069153,0.9537933468818665,0.9822643399238586,0.9963569641113281,0.002660580910742283,0.9476674795150757,0.904395341873169,0.9634253978729248
7,0.9974867701530457,0.0017733327113091946,0.9634710550308228,0.9416425824165344,0.9776206016540527,0.996008038520813,0.002263310132548213,0.9658259153366089,0.911148726940155,0.9648058414459229
8,0.9976072907447815,0.0016856383299455047,0.9650589227676392,0.9443637728691101,0.9787287712097168,0.9970614314079285,0.002024557674303651,0.9627637267112732,0.9254164695739746,0.9719222187995911
9,0.9977157711982727,0.0016344570321962237,0.9663076996803284,0.946263313293457,0.979564368724823,0.9970640540122986,0.0019767298363149166,0.9604612588882446,0.9314789772033691,0.9732254147529602
10,0.997901976108551,0.0014943686546757817,0.9693477749824524,0.950953483581543,0.9814048409461975,0.9975088834762573,0.0018617648165673018,0.9621672630310059,0.9349511861801147,0.975633442401886
11,0.998015284538269,0.0014373002341017127,0.9702209234237671,0.9525676965713501,0.9820961952209473,0.9973528981208801,0.0017855948535725474,0.9673413038253784,0.9351494312286377,0.9752136468887329
12,0.998201847076416,0.0013081448851153255,0.973044753074646,0.9568061828613281,0.9838806986808777,0.9975463151931763,0.0017209347570315003,0.966373085975647,0.9392338395118713,0.9767616987228394
13,0.9982912540435791,0.0012370460899546742,0.9745367169380188,0.9592832922935486,0.9847637414932251,0.9977083206176758,0.001653097104281187,0.9679838418960571,0.9408882856369019,0.9778287410736084
